#MP_Number	CNL	EG	EFermi	ValenceMax	CondMin	ENegDiff	Formula	Cost
569018	-0.14049999999999999	0.1	0.12650000000000006	0.1405000000000003	0.24150000000000027	0.71	b'Mg3Bi2'	80.00010344827587
569028	2.934962	2.682924	-2.859962	-2.934962	-0.2520380000000002	2.14	b'Rb2SnBr6'	2.487878787878788
569054	0.39705	0.6771	-0.5660500000000006	-0.3970500000000001	0.28004999999999924	0.7799999999999998	b'La2Co3'	0.1588235294117647
569059	1.879922	4.084844	-1.807922	-1.879922	2.2039220000000004	1.36	b'HfI4'	8.466295609152752
569060	1.609628	2.897256	-1.5956280000000003	-1.6096280000000003	1.2886279999999997	1.7599999999999998	b'Cs2PSe5'	101.05363157894737
569066	1.822082	1.173164	-1.8180820000000002	-1.8220820000000002	-0.6499180000000004	1.87	b'Cs2PdI6'	172.02768826828978
569071	0.143596	0.379192	-0.3825959999999995	-0.1435959999999996	0.23559600000000014	0.8099999999999998	b'La5Al3Ni2'	0.16931763111748765
569095	0.9925780000000001	0.7741560000000001	-0.9955780000000001	-0.9925780000000001	-0.21842200000000012	1.2000000000000002	b'Rb3Bi'	40.05
569121	-0.5331299999999999	0.58274	0.3821300000000001	0.5331299999999999	1.115870000000001	2.06	b'La2B3Cl'	0.40953346855983774
569128	1.3974920000000002	2.8109840000000004	-1.3754920000000004	-1.3974920000000006	1.4134919999999997	0.14000000000000012	b'SiB3'	0.3448312899106003
569149	2.422244	4.358488	-2.407244	-2.422244	1.9362440000000007	2.3400000000000003	b'K2TeCl6'	1000.0354274509804
569151	0.258466	0.38593199999999994	-0.35546599999999984	-0.2584660000000003	0.12746600000000008	0.7299999999999998	b'MnGaPt'	270.3238109401267
569152	2.4540280000000005	5.054056000000001	-2.3540280000000005	-2.454028000000001	2.6010280000000003	1.2000000000000002	b'SnCl2'	0.4663101604278075
569157	2.2248900000000003	4.26278	-2.1838900000000003	-2.2248900000000003	2.0378900000000004	0.6400000000000001	b'BiI3'	46.12244897959184
569175	2.734814	5.780628000000001	-2.706814	-2.734814	3.045814	1.83	b'ZrCl4'	0.031221719457013575
569185	0.428146	1.491292	-0.014146000000000214	-0.4281459999999999	1.0631459999999997	2.3400000000000003	b'K(WCl3)3'	2.7802805704099818
569193	1.6703700000000001	2.9417400000000002	-1.63237	-1.6703700000000001	1.2713700000000001	1.7599999999999998	b'Cs4P2Se9'	182.10726315789475
569196	0.29787	0.58274	-0.4198699999999995	-0.29786999999999964	0.2848700000000006	0.69	b'YNi3'	0.067816091954023
569267	0.4183540000000001	1.3457080000000001	-0.31335400000000035	-0.4183539999999999	0.9273540000000002	1.0499999999999998	b'Ca2CdSb2'	16.666706666666666
569271	1.764752	2.797504	-1.7157520000000006	-1.7647520000000005	1.0327519999999994	1.78	b'Cr3(P2O7)2'	0.025459006211180125
569298	-0.12280600000000003	0.2133879999999999	-0.2981940000000005	0.12280599999999975	0.33519399999999955	1.1800000000000002	b'Ca(CoAs)2'	1.019067619047619
569309	2.652576	4.113152	-2.541576	-2.652576	1.4605759999999997	2.3400000000000003	b'RbMnCl3'	0.03522281639928698
569313	0.217506	0.332012	-0.31750599999999984	-0.2175060000000002	0.11450599999999955	0.8900000000000001	b'Mg3Si8Ir3'	7500.000133077905
569346	1.624258	2.553516	-1.5452580000000005	-1.6242580000000002	0.9292579999999999	0.7600000000000002	b'CuI'	2.0555222088835534
569350	0.301784	0.597568	-0.3767840000000007	-0.3017840000000005	0.2957839999999994	1.8599999999999999	b'La5Sn3Br'	1.8440285204991085
569383	0.9629700000000001	1.4589400000000001	-0.87297	-0.9629699999999999	0.4959700000000007	2.04	b'Ca5(CoN2)2'	0.2667666666666667
569388	0.303274	0.779548	-0.35327399999999987	-0.30327400000000004	0.4762740000000001	0.10000000000000009	b'Te2Ir'	4500.0
569398	0.06597000000000003	0.11094000000000004	-0.2899700000000003	-0.06597000000000008	0.044970000000000176	1.8599999999999999	b'La4Al5Br2'	0.7843747010999521
569410	1.6929040000000002	3.1318080000000004	-1.6499040000000003	-1.6929040000000004	1.437904	0.9700000000000002	b'PCl5'	0.030411764705882353
569411	-0.053898	0.135204	-0.31710199999999933	0.053898000000000224	0.19010200000000044	0.9199999999999999	b'La3ScBi5'	200.1266968325792
569424	0.06524199999999997	0.28348399999999996	-0.3682419999999995	-0.06524199999999958	0.21824200000000005	0.3800000000000001	b'Cr2B'	0.12922824302134647
569442	1.7277540000000005	3.5025080000000006	-1.6567540000000005	-1.7277540000000005	1.773754	2.3400000000000003	b'RbAuCl4'	322.62084123972164
569451	0.274656	0.6353120000000001	-0.3906559999999999	-0.27465600000000023	0.36065600000000053	0.15000000000000036	b'Sb2Pd5'	803.6507936507936
569458	0.2519620000000001	0.6609240000000001	-0.048961999999999506	-0.2519619999999998	0.40996200000000105	0.9399999999999997	b'AlV4C3'	0.022731493367565254
569477	0.277528	0.6730560000000001	-0.40052800000000044	-0.2775280000000002	0.39552799999999966	1.8599999999999999	b'La10Al5Br4'	1.627511956001913
569484	-0.6635679999999999	1.206864	0.7055680000000002	0.6635679999999999	1.8704319999999999	2.37	b'Cs3Ti2Cl9'	1.6321915751946712
569512	2.428116	3.0482320000000005	-2.4031160000000003	-2.428116	0.6201160000000003	1.1100000000000003	b'SbICl8'	7.087875150060023
569522	0.72502	1.56004	-0.7010199999999998	-0.7250200000000007	0.8350200000000001	0.6399999999999999	b'MnP4'	0.004909090909090909
569531	2.4681379999999997	3.3892759999999997	-2.357138	-2.4681379999999997	0.9211380000000005	2.14	b'Rb2CuBr3'	1.0480392156862746
569535	0.361282	0.903564	-0.3682819999999998	-0.36128199999999966	0.5422820000000002	1.02	b'Ca2Bi'	40.00004
569548	0.9039480000000002	1.7918960000000002	-0.8709480000000002	-0.9039480000000002	0.8879480000000001	2.17	b'CsAuBr3'	324.106960950764
569561	2.5266840000000004	5.113368	-2.480684	-2.5266840000000004	2.586684	1.06	b'TeCl4'	1000.0235294117647
569568	-0.04284199999999999	0.32931600000000005	-0.19715799999999994	0.04284200000000027	0.37215799999999977	1.0499999999999998	b'Ta3AlC2'	1.7658291885860034
569571	0.924356	2.050712	-0.896355999999999	-0.9243559999999995	1.1263559999999995	0.5	b'Nb3Sb2Te5'	5010.176470588235
569582	0.31891800000000003	0.652836	-0.4089180000000008	-0.31891800000000003	0.3329179999999994	0.7799999999999998	b'La4MgCo'	0.15101487491548343
569594	0.32792200000000005	0.714844	-0.42692199999999936	-0.32792200000000005	0.38592200000000076	0.33000000000000007	b'Fe7Mo6'	5.454656565656565
569595	2.185492	4.158984	-2.150492	-2.185492	1.9734920000000011	0.79	b'PbI2'	4.181632653061224
569613	1.4866360000000003	3.0212720000000006	-1.464636	-1.4866360000000003	1.5346360000000008	2.27	b'Ba2P7Cl'	0.01876470588235294
569623	0.42527999999999994	2.22056	-0.3492799999999998	-0.4252799999999999	1.7962800000000003	1.3599999999999999	b'Nb(SeBr)2'	40.72549019607843
569653	2.6328880000000003	4.231776000000001	-2.5758880000000004	-2.6328880000000003	1.5988880000000005	1.2000000000000002	b'SnPCl9'	0.5084866310160427
